TRACKINGNUMBER,INSPECTIONDATE,INSPTYPE,NUMCRITICAL,NUMNONCRITICAL,VIOLLUMP,HAZARDRATING
NDAA-9L2T78,20220516,Routine,1,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
NDAA-9L2T78,20210610,Routine,0,0,,Low
HPAR-AE2S2K,20230529,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
HPAR-AE2S2K,20230109,Routine,0,0,,Low
HPAR-AE2S2K,20220711,Routine,0,0,,Low
HPAR-AE2S2K,20220105,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
HPAR-AE2S2K,20210623,Routine,0,0,,Low
HPAR-AE2S2K,20191212,Follow-Up,0,0,,Low
SPLH-ASNP2T,20230426,Routine,2,0,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
SPLH-ASNP2T,20220520,Follow-Up,0,0,,Low
SPLH-ASNP2T,20220429,Routine,1,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Moderate
SPLH-ASNP2T,20210517,Routine,0,0,,Low
SPLH-ASNP2T,20200901,Routine,3,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Moderate
SHEN-A2CTME,20230908,Routine,0,0,,Low
SHEN-A2CTME,20230425,Follow-Up,0,0,,Low
SHEN-A2CTME,20230419,Routine,0,2,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat",Low
SHEN-A2CTME,20220816,Routine,0,0,,Low
SHEN-A2CTME,20220301,Follow-Up,0,0,,Low
SHEN-A2CTME,20220228,Routine,2,2,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
SHEN-A2CTME,20210806,Routine,0,0,,Low
SHEN-A2CTME,20210209,Routine,0,0,,Low
SHEN-A2CTME,20200115,Routine,0,0,,Low
HPAR-AFGRCA,20230727,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
HPAR-AFGRCA,20230110,Routine,0,0,,Low
HPAR-AFGRCA,20220621,Routine,0,0,,Low
HPAR-AFGRCA,20210324,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
HPAR-AFGRCA,20191211,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
HPAR-AFGPRP,20230824,Routine,0,0,,Low
HPAR-AFGPRP,20230317,Routine,0,0,,Low
HPAR-AFGPRP,20220808,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
HPAR-AFGPRP,20210705,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
HPAR-AFGPRP,20210209,Routine,0,3,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|502,Not Critical,In operator’s absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Low
HPAR-AFGPRP,20200116,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
NDAA-99WMTF,20230208,Routine,1,0,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat",Low
NDAA-99WMTF,20220826,Routine,2,1,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
NDAA-99WMTF,20220318,Routine,0,0,,Low
NDAA-99WMTF,20210901,Routine,0,0,,Low
NDAA-99WMTF,20200205,Routine,0,0,,Low
HPAR-AE2Q87,20230505,Routine,0,0,,Low
HPAR-AE2Q87,20220510,Routine,0,0,,Low
HPAR-AE2Q87,20211213,Routine,0,0,,Low
HPAR-AE2Q87,20210608,Routine,0,1,"104,Not Critical,Permit not posted in a conspicuous location [s. 8(7)],Not Repeat",Low
HPAR-AE2Q87,20191104,Routine,0,0,,Low
SWOD-AQAKLU,20230704,Routine,0,0,,Low
SWOD-AQAKLU,20221125,Routine,1,0,"303,Critical,Equipment/facilities/hot & cold water for sanitary maintenance not adequate [s. 17(3); s. 4(1)(f)],Not Repeat",Low
SWOD-AQAKLU,20220629,Routine,0,0,,Low
SWOD-AQAKLU,20210901,Routine,0,0,,Low
SWOD-AQAKLU,20200911,Follow-Up,0,1,"307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
SWOD-AQAKLU,20200901,Follow-Up,0,1,"307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
SWOD-AQAKLU,20200831,Routine,1,1,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat",Low
HCAR-BG7QZ3,20230531,Routine,0,0,,Low
HCAR-BG7QZ3,20220504,Routine,0,0,,Low
HCAR-BG7QZ3,20210707,Routine,1,2,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat|502,Not Critical,In operator’s absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Low
HCAR-BG7QZ3,20200708,Routine,0,1,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat",Low
HCAR-BG7QZ3,20200203,Routine,0,0,,Low
LCOE-CP9MWN,20231010,Routine,2,3,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|307,Not Critical,Equipment/utensils/food contact surfaces are not of suitable design/material [s. 16; s. 19],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat",Moderate
LCOE-CP9MWN,20230705,Follow-Up,1,0,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat",Low
LCOE-CP9MWN,20230607,Routine,2,3,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat|502,Not Critical,In operator’s absence, no staff on duty has FOODSAFE Level 1 or equivalent [s. 10(2)],Not Repeat",Moderate
LCOE-CP9MWN,20230302,Follow-Up,0,0,,Low
LCOE-CP9MWN,20230223,Routine,3,0,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Moderate
A017293,20230802,Routine,1,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
A017293,20230123,Routine,0,0,,Low
A017293,20221122,Routine,0,1,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat",Low
A017293,20220525,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
A017293,20211201,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
A017293,20210528,Routine,0,0,,Low
A017293,20201030,Routine,0,0,,Low
A017293,20200428,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
A017293,20191128,Routine,1,0,"206,Critical,Hot potentially hazardous food stored/displayed below 60 °C. [s. 14(2)],Not Repeat",Low
A017349,20230607,Routine,0,0,,Low
A017349,20230203,Follow-Up,0,0,,Low
A017349,20221205,Routine,0,0,,Low
A017349,20220609,Routine,0,0,,Low
A017349,20220110,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
A017349,20210624,Routine,0,0,,Low
A017349,20200107,Routine,0,0,,Low
A017335,20230803,Routine,0,1,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
A017335,20230405,Routine,0,0,,Low
A017335,20220509,Routine,0,0,,Low
A017335,20210517,Routine,0,0,,Low
A017335,20201005,Routine,0,0,,Low
A017335,20200401,Routine,1,0,"203,Critical,Food not cooled in an acceptable manner [s. 12(a)],Not Repeat",Low
A017335,20191106,Routine,2,0,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat",Low
GEDS-7ZLTQN,20230516,Routine,0,0,,Low
GEDS-7ZLTQN,20221114,Routine,3,0,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|401,Critical,Adequate handwashing stations not available for employees [s. 21(4)],Not Repeat|402,Critical,Employee does not wash hands properly or at adequate frequency [s. 21(3)],Not Repeat",Low
GEDS-7ZLTQN,20220510,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
GEDS-7ZLTQN,20210916,Routine,0,0,,Low
GEDS-7ZLTQN,20210322,Routine,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
SDFO-8HVQQ6,20230502,Routine,1,0,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat",Low
SDFO-8HVQQ6,20221205,Routine,0,0,,Low
SDFO-8HVQQ6,20220527,Routine,2,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
SDFO-8HVQQ6,20220119,Routine,0,0,,Low
SDFO-8HVQQ6,20210608,Routine,1,0,"204,Critical,Food not cooked or reheated in a manner that makes it safe to eat [s. 14(1)],Not Repeat",Low
A018613,20230619,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
A018613,20230217,Routine,0,0,,Low
A018613,20220818,Routine,0,0,,Low
A018613,20220209,Routine,0,0,,Low
A018613,20210623,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
A018613,20210119,Routine,0,0,,Low
A018613,20191119,Follow-Up,0,0,,Low
A018613,20191106,Routine,1,1,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat",Low
HCAR-BC9TWR,20230523,Routine,0,1,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
HCAR-BC9TWR,20221130,Routine,0,1,"305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
HCAR-BC9TWR,20220608,Routine,0,0,,Low
HCAR-BC9TWR,20220106,Follow-Up,0,0,,Low
HCAR-BC9TWR,20220104,Routine,1,1,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
HCAR-BC9TWR,20210610,Routine,0,0,,Low
HCAR-BC9TWR,20200123,Routine,0,1,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat",Low
HCAR-CLER5Q,20230831,Routine,0,0,,Low
HCAR-CLER5Q,20221209,Routine,0,0,,
SWOD-A53UKG,20231026,Routine,0,0,,Low
SWOD-A53UKG,20230425,Routine,1,1,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
SWOD-A53UKG,20230106,Routine,0,0,,Low
SWOD-A53UKG,20220714,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
SWOD-A53UKG,20220201,Routine,0,1,"306,Not Critical,Food premises not maintained in a sanitary condition [s. 17(1)],Not Repeat",Low
SWOD-A53UKG,20210907,Follow-Up,0,0,,Low
SWOD-A53UKG,20210903,Follow-Up,0,1,"308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
SWOD-A53UKG,20191121,Routine,0,0,,Low
HCAR-BTGT9Y,20230821,Routine,0,0,,Low
HCAR-BTGT9Y,20230123,Routine,0,3,"304,Not Critical,Premises not free of pests [s. 26(a)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|309,Not Critical,Chemicals, cleansers, & similar agents stored or labeled improperly [s. 27],Not Repeat",Low
HCAR-BTGT9Y,20220721,Follow-Up,0,0,,Low
HCAR-BTGT9Y,20220718,Routine,1,1,"302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat",Low
HCAR-BTGT9Y,20210811,Follow-Up,0,0,,Low
HCAR-BTGT9Y,20210722,Follow-Up,0,0,,Low
HCAR-BTGT9Y,20210720,Routine,2,2,"205,Critical,Cold potentially hazardous food stored/displayed above 4 °C. [s. 14(2)],Not Repeat|302,Critical,Equipment/utensils/food contact surfaces not properly washed and sanitized [s. 17(2)],Not Repeat|308,Not Critical,Equipment/utensils/food contact surfaces are not in good working order [s. 16(b)],Not Repeat|315,Not Critical,Refrigeration units and hot holding equipment lack accurate thermometers [s. 19(2)],Not Repeat",Moderate
NDAA-9BHRSB,20230704,Routine,0,0,,Low
NDAA-9BHRSB,20230213,Routine,0,0,,Low
NDAA-9BHRSB,20220909,Routine,0,0,,Low
NDAA-9BHRSB,20220315,Routine,0,0,,Low
NDAA-9BHRSB,20210315,Routine,0,2,"209,Not Critical,Food not protected from contamination [s. 12(a)],Not Repeat|305,Not Critical,Conditions observed that may allow entrance/harbouring/breeding of pests [s. 26(b),(c)],Not Repeat",Low
NDAA-9BHRSB,20200810,Routine,1,0,"301,Critical,Equipment/utensils/food contact surfaces not maintained in sanitary condition [s. 17(1)],Not Repeat",Low
NDAA-9BHRSB,20200203,Routine,0,0,,Low
